node_idx,segment_id
0,D7_RS000000
1,D7_RS000001
2,D7_RS000003
3,D7_RS000008
4,D7_RS000016
5,D7_RS000017
6,D7_RS000018
7,D7_RS000019
8,D7_RS000020
9,D7_RS000021
10,D7_RS000022
11,D7_RS000023
12,D7_RS000025
13,D7_RS000026
14,D7_RS000027
15,D7_RS000032
16,D7_RS000033
17,D7_RS000034
18,D7_RS000041
19,D7_RS000043
20,D7_RS000101
21,D7_RS000107
22,D7_RS000108
23,D7_RS000109
24,D7_RS000115
25,D7_RS000116
26,D7_RS000117
27,D7_RS000130
28,D7_RS000137
29,D7_RS000138
30,D7_RS000139
31,D7_RS000167
32,D7_RS000168
33,D7_RS000169
34,D7_RS000170
35,D7_RS000171
36,D7_RS000172
37,D7_RS000173
38,D7_RS000174
39,D7_RS000175
40,D7_RS000176
41,D7_RS000177
42,D7_RS000178
43,D7_RS000179
44,D7_RS000180
45,D7_RS000182
46,D7_RS000185
47,D7_RS000186
48,D7_RS000187
49,D7_RS000188
50,D7_RS000189
51,D7_RS000190
52,D7_RS000191
53,D7_RS000192
54,D7_RS000193
55,D7_RS000194
56,D7_RS000195
57,D7_RS000201
58,D7_RS000202
59,D7_RS000203
60,D7_RS000204
61,D7_RS000205
62,D7_RS000206
63,D7_RS000207
64,D7_RS000219
65,D7_RS000220
66,D7_RS000221
67,D7_RS000222
68,D7_RS000223
69,D7_RS000224
70,D7_RS000226
71,D7_RS000227
72,D7_RS000231
73,D7_RS000232
74,D7_RS000233
75,D7_RS000234
76,D7_RS000235
77,D7_RS000236
78,D7_RS000237
79,D7_RS000238
80,D7_RS000246
81,D7_RS000248
82,D7_RS000249
83,D7_RS000254
84,D7_RS000255
85,D7_RS000256
86,D7_RS000260
87,D7_RS000261
88,D7_RS000262
89,D7_RS000263
90,D7_RS000264
91,D7_RS000265
92,D7_RS000266
93,D7_RS000272
94,D7_RS000290
95,D7_RS000291
96,D7_RS000293
97,D7_RS000295
98,D7_RS000296
99,D7_RS000299
100,D7_RS000300
101,D7_RS000301
102,D7_RS000302
103,D7_RS000303
104,D7_RS000307
105,D7_RS000308
106,D7_RS000309
107,D7_RS000310
108,D7_RS000311
109,D7_RS000332
110,D7_RS000333
111,D7_RS000334
112,D7_RS000335
113,D7_RS000351
114,D7_RS000356
115,D7_RS000357
116,D7_RS000358
117,D7_RS000374
118,D7_RS000390
119,D7_RS000391
120,D7_RS000392
121,D7_RS000393
122,D7_RS000420
123,D7_RS000440
124,D7_RS000441
125,D7_RS000442
126,D7_RS000474
127,D7_RS000475
128,D7_RS000491
129,D7_RS000492
