segment_id_a,segment_id_b,adjacency_type,shared_vertex_count,synthetic_bridge_count,min_synthetic_bridge_length_m,synthetic_bridge_ids
D7_RS000000,D7_RS000001,shared_vertex,1,0,,
D7_RS000000,D7_RS000139,shared_vertex,1,0,,
D7_RS000000,D7_RS000442,shared_vertex,1,0,,
D7_RS000001,D7_RS000008,shared_vertex,17,0,,
D7_RS000003,D7_RS000177,shared_vertex,1,0,,
D7_RS000003,D7_RS000192,shared_vertex,1,0,,
D7_RS000016,D7_RS000017,shared_vertex,1,0,,
D7_RS000016,D7_RS000019,shared_vertex,1,0,,
D7_RS000016,D7_RS000205,shared_vertex,32,0,,
D7_RS000016,D7_RS000206,shared_vertex,1,0,,
D7_RS000016,D7_RS000222,shared_vertex,1,0,,
D7_RS000016,D7_RS000838,shared_vertex,1,0,,
D7_RS000016,D7_RS000850,shared_vertex,1,0,,
D7_RS000017,D7_RS000018,shared_vertex,1,0,,
D7_RS000017,D7_RS000205,shared_vertex,1,0,,
D7_RS000017,D7_RS000206,shared_vertex,25,0,,
D7_RS000018,D7_RS000101,shared_vertex,1,0,,
D7_RS000018,D7_RS000206,shared_vertex,1,0,,
D7_RS000018,D7_RS000207,shared_vertex,7,0,,
D7_RS000019,D7_RS000246,shared_vertex,1,0,,
D7_RS000020,D7_RS000021,shared_vertex,1,0,,
D7_RS000020,D7_RS000101,shared_vertex,1,0,,
D7_RS000020,D7_RS000300,shared_vertex,27,0,,
D7_RS000020,D7_RS000864,shared_vertex,1,0,,
D7_RS000020,D7_RS000876,shared_vertex,1,0,,
D7_RS000021,D7_RS000022,shared_vertex,1,0,,
D7_RS000021,D7_RS000300,shared_vertex,2,0,,
D7_RS000021,D7_RS000301,shared_vertex,30,0,,
D7_RS000022,D7_RS000023,shared_vertex,1,0,,
D7_RS000022,D7_RS000302,shared_vertex,12,0,,
D7_RS000022,D7_RS000303,shared_vertex,1,0,,
D7_RS000023,D7_RS000137,shared_vertex,1,0,,
D7_RS000023,D7_RS000302,shared_vertex,1,0,,
D7_RS000023,D7_RS000303,shared_vertex,9,0,,
D7_RS000023,D7_RS000440,shared_vertex,1,0,,
D7_RS000025,D7_RS000182,shared_vertex,1,0,,
D7_RS000025,D7_RS000222,shared_vertex,1,0,,
D7_RS000025,D7_RS000351,shared_vertex,1,0,,
D7_RS000026,D7_RS000027,shared_vertex,1,0,,
D7_RS000026,D7_RS000032,shared_vertex,24,0,,
D7_RS000026,D7_RS000034,shared_vertex,1,0,,
D7_RS000026,D7_RS000177,shared_vertex,1,0,,
D7_RS000026,D7_RS000192,shared_vertex,1,0,,
D7_RS000026,D7_RS000224,shared_vertex,1,0,,
D7_RS000027,D7_RS000033,shared_vertex,15,0,,
D7_RS000027,D7_RS000194,shared_vertex,1,0,,
D7_RS000027,D7_RS000420,shared_vertex,1,0,,
D7_RS000032,D7_RS000033,shared_vertex,1,0,,
D7_RS000032,D7_RS000034,shared_vertex,1,0,,
D7_RS000032,D7_RS000177,shared_vertex,1,0,,
D7_RS000032,D7_RS000192,shared_vertex,1,0,,
D7_RS000032,D7_RS000224,shared_vertex,1,0,,
D7_RS000033,D7_RS000194,shared_vertex,1,0,,
D7_RS000033,D7_RS000420,shared_vertex,1,0,,
D7_RS000034,D7_RS000130,shared_vertex,1,0,,
D7_RS000034,D7_RS000195,shared_vertex,1,0,,
D7_RS000034,D7_RS000224,shared_vertex,14,0,,
D7_RS000041,D7_RS000256,shared_vertex,1,0,,
D7_RS000043,D7_RS000256,shared_vertex,1,0,,
D7_RS000043,D7_RS000652,shared_vertex,2,0,,
D7_RS000101,D7_RS000207,shared_vertex,1,0,,
D7_RS000101,D7_RS000300,shared_vertex,1,0,,
D7_RS000107,D7_RS000108,shared_vertex,1,0,,
D7_RS000107,D7_RS000115,shared_vertex,7,0,,
D7_RS000108,D7_RS000109,shared_vertex,1,0,,
D7_RS000108,D7_RS000116,shared_vertex,1,0,,
D7_RS000109,D7_RS000117,shared_vertex,1,0,,
D7_RS000109,D7_RS000620,shared_vertex,1,0,,
D7_RS000109,D7_RS000632,shared_vertex,1,0,,
D7_RS000115,D7_RS000116,shared_vertex,1,0,,
D7_RS000115,D7_RS000693,shared_vertex,1,0,,
D7_RS000115,D7_RS000729,shared_vertex,1,0,,
D7_RS000116,D7_RS000117,shared_vertex,1,0,,
D7_RS000117,D7_RS000620,shared_vertex,1,0,,
D7_RS000117,D7_RS000632,shared_vertex,1,0,,
D7_RS000130,D7_RS000138,shared_vertex,1,0,,
D7_RS000130,D7_RS000195,shared_vertex,1,0,,
D7_RS000130,D7_RS000224,shared_vertex,1,0,,
D7_RS000130,D7_RS000441,shared_vertex,1,0,,
D7_RS000137,D7_RS000138,shared_vertex,1,0,,
D7_RS000137,D7_RS000303,shared_vertex,1,0,,
D7_RS000137,D7_RS000440,shared_vertex,17,0,,
D7_RS000138,D7_RS000139,shared_vertex,1,0,,
D7_RS000138,D7_RS000440,shared_vertex,1,0,,
D7_RS000138,D7_RS000441,shared_vertex,32,0,,
D7_RS000138,D7_RS000442,shared_vertex,1,0,,
D7_RS000139,D7_RS000441,shared_vertex,1,0,,
D7_RS000139,D7_RS000442,shared_vertex,38,0,,
D7_RS000167,D7_RS000168,shared_vertex,1,0,,
D7_RS000167,D7_RS000170,shared_vertex,2,0,,
D7_RS000167,D7_RS000171,shared_vertex,13,0,,
D7_RS000167,D7_RS000180,shared_vertex,2,0,,
D7_RS000167,D7_RS000185,shared_vertex,7,0,,
D7_RS000167,D7_RS000231,shared_vertex,1,0,,
D7_RS000167,D7_RS000711,shared_vertex,6,0,,
D7_RS000167,D7_RS000714,shared_vertex,1,0,,
D7_RS000167,D7_RS000739,shared_vertex,4,0,,
D7_RS000168,D7_RS000169,shared_vertex,1,0,,
D7_RS000168,D7_RS000171,shared_vertex,1,0,,
D7_RS000168,D7_RS000172,shared_vertex,13,0,,
D7_RS000168,D7_RS000186,shared_vertex,16,0,,
D7_RS000168,D7_RS000272,shared_vertex,17,0,,
D7_RS000169,D7_RS000172,shared_vertex,3,0,,
D7_RS000169,D7_RS000173,shared_vertex,7,0,,
D7_RS000169,D7_RS000186,shared_vertex,2,0,,
D7_RS000169,D7_RS000187,shared_vertex,8,0,,
D7_RS000169,D7_RS000272,shared_vertex,2,0,,
D7_RS000170,D7_RS000171,shared_vertex,1,0,,
D7_RS000170,D7_RS000180,shared_vertex,6,0,,
D7_RS000170,D7_RS000185,shared_vertex,1,0,,
D7_RS000170,D7_RS000231,shared_vertex,1,0,,
D7_RS000171,D7_RS000172,shared_vertex,1,0,,
D7_RS000171,D7_RS000180,shared_vertex,1,0,,
D7_RS000171,D7_RS000185,shared_vertex,26,0,,
D7_RS000171,D7_RS000186,shared_vertex,1,0,,
D7_RS000171,D7_RS000231,shared_vertex,1,0,,
D7_RS000171,D7_RS000272,shared_vertex,2,0,,
D7_RS000171,D7_RS000838,shared_vertex,1,0,,
D7_RS000171,D7_RS000850,shared_vertex,1,0,,
