segment_id,district,active,sensor_count,length_m,edge_count,line_part_ids,route,county,direction,align_code,route_type,pm_route_ids,start_vertex,end_vertex,centroid_lon,centroid_lat,mapped_sensor_ids,active_component_rank,retained_active_giant,mapped_sensor_count
D7_RS000000,D7,1,4,1590.8385508659128,12,D7_L00000,71,LA,SB,Right,State,LA.071.R.R,D7_VN000000,D7_VN000012,-117.75026105177014,34.024083158746706,766685;766686;767175;767176,1,1,4
D7_RS000001,D7,1,7,3686.3389863609514,27,D7_L00001,71,LA,SB,Right,State,LA.071...R,D7_VN000013,D7_VN000000,-117.77484042590909,34.04741867892874,767171;769292;769293;769294;769295;775100;775102,1,1,7
D7_RS000003,D7,1,3,1432.073998109184,17,D7_L00003,71,LA,SB,Right,State,LA.071.R.R,D7_VN000045,D7_VN000040,-117.79540633296057,34.063889478893884,716271;767167;767168,1,1,3
D7_RS000008,D7,1,6,3732.9472404776457,27,D7_L00006,71,LA,NB,Left,State,LA.071...L,D7_VN000013,D7_VN000184,-117.77479798311701,34.047483239579556,766673;766674;769279;769282;775101;775103,1,1,6
D7_RS000016,D7,1,14,5038.524576650061,55,D7_L00014,60,LA,EB,Right,State,LA.060.R.R,D7_VN000244,D7_VN000299,-118.18300452016558,34.03285107287418,716208;716209;716213;717264;717265;717267;717268;767777;768434;768435;768436;773258;773274;773281,1,1,14
D7_RS000017,D7,1,11,5024.446448988992,43,D7_L00014,60,LA,EB,Right,State,LA.060.R.R,D7_VN000299,D7_VN000342,-118.1237239440777,34.03435049296921,716215;716216;717272;717273;717279;767698;768444;773222;773232;773293;773304,1,1,11
D7_RS000018,D7,1,10,1139.6394199075596,14,D7_L00014,60,LA,EB,Right,State,LA.060.R.R,D7_VN000342,D7_VN000356,-118.08986683700043,34.03678602880223,716220;716221;716222;717284;717285;717287;717288;717290;773245;773342,1,1,10
D7_RS000019,D7,1,2,38.41388810170123,1,D7_L00015,60,LA,EB,Right,State,LA.060...R,D7_VN000357,D7_VN000244,-118.21628527513147,34.02904463566185,716205;717262,1,1,2
D7_RS000020,D7,1,22,5015.533273319709,45,D7_L00016,60,LA,WB,Left,State,LA.060...L,D7_VN000358,D7_VN000403,-118.05059844029371,34.038644150395385,716225;716227;716229;716230;716232;716233;716880;717297;717298;717299;717300;717302;717303;717306;717314;717315;717316;718455;718456;773316;773317;773329,1,1,22
D7_RS000021,D7,1,18,5057.010237298786,54,D7_L00016,60,LA,WB,Left,State,LA.060...L,D7_VN000403,D7_VN000457,-117.99899222779064,34.02414965318499,716238;716239;716240;716241;717318;717319;717320;718453;767723;769454;773407;773458;773459;773462;773542;773543;774620;774968,1,1,18
