source_idx,target_idx,source_segment_id,target_segment_id
0,1,D7_RS000000,D7_RS000001
1,0,D7_RS000001,D7_RS000000
0,30,D7_RS000000,D7_RS000139
30,0,D7_RS000139,D7_RS000000
0,125,D7_RS000000,D7_RS000442
125,0,D7_RS000442,D7_RS000000
1,3,D7_RS000001,D7_RS000008
3,1,D7_RS000008,D7_RS000001
2,41,D7_RS000003,D7_RS000177
41,2,D7_RS000177,D7_RS000003
2,53,D7_RS000003,D7_RS000192
53,2,D7_RS000192,D7_RS000003
4,5,D7_RS000016,D7_RS000017
5,4,D7_RS000017,D7_RS000016
4,7,D7_RS000016,D7_RS000019
7,4,D7_RS000019,D7_RS000016
4,61,D7_RS000016,D7_RS000205
61,4,D7_RS000205,D7_RS000016
4,62,D7_RS000016,D7_RS000206
62,4,D7_RS000206,D7_RS000016
4,67,D7_RS000016,D7_RS000222
67,4,D7_RS000222,D7_RS000016
4,239,D7_RS000016,D7_RS000838
239,4,D7_RS000838,D7_RS000016
4,247,D7_RS000016,D7_RS000850
247,4,D7_RS000850,D7_RS000016
5,6,D7_RS000017,D7_RS000018
6,5,D7_RS000018,D7_RS000017
5,61,D7_RS000017,D7_RS000205
61,5,D7_RS000205,D7_RS000017
5,62,D7_RS000017,D7_RS000206
62,5,D7_RS000206,D7_RS000017
6,20,D7_RS000018,D7_RS000101
20,6,D7_RS000101,D7_RS000018
6,62,D7_RS000018,D7_RS000206
62,6,D7_RS000206,D7_RS000018
6,63,D7_RS000018,D7_RS000207
63,6,D7_RS000207,D7_RS000018
7,80,D7_RS000019,D7_RS000246
80,7,D7_RS000246,D7_RS000019
8,9,D7_RS000020,D7_RS000021
9,8,D7_RS000021,D7_RS000020
8,20,D7_RS000020,D7_RS000101
20,8,D7_RS000101,D7_RS000020
8,100,D7_RS000020,D7_RS000300
100,8,D7_RS000300,D7_RS000020
8,259,D7_RS000020,D7_RS000864
259,8,D7_RS000864,D7_RS000020
8,267,D7_RS000020,D7_RS000876
267,8,D7_RS000876,D7_RS000020
9,10,D7_RS000021,D7_RS000022
10,9,D7_RS000022,D7_RS000021
9,100,D7_RS000021,D7_RS000300
100,9,D7_RS000300,D7_RS000021
9,101,D7_RS000021,D7_RS000301
101,9,D7_RS000301,D7_RS000021
10,11,D7_RS000022,D7_RS000023
11,10,D7_RS000023,D7_RS000022
10,102,D7_RS000022,D7_RS000302
102,10,D7_RS000302,D7_RS000022
10,103,D7_RS000022,D7_RS000303
103,10,D7_RS000303,D7_RS000022
11,28,D7_RS000023,D7_RS000137
28,11,D7_RS000137,D7_RS000023
11,102,D7_RS000023,D7_RS000302
102,11,D7_RS000302,D7_RS000023
11,103,D7_RS000023,D7_RS000303
103,11,D7_RS000303,D7_RS000023
11,123,D7_RS000023,D7_RS000440
123,11,D7_RS000440,D7_RS000023
12,45,D7_RS000025,D7_RS000182
45,12,D7_RS000182,D7_RS000025
12,67,D7_RS000025,D7_RS000222
67,12,D7_RS000222,D7_RS000025
12,113,D7_RS000025,D7_RS000351
113,12,D7_RS000351,D7_RS000025
13,14,D7_RS000026,D7_RS000027
14,13,D7_RS000027,D7_RS000026
13,15,D7_RS000026,D7_RS000032
15,13,D7_RS000032,D7_RS000026
13,17,D7_RS000026,D7_RS000034
17,13,D7_RS000034,D7_RS000026
13,41,D7_RS000026,D7_RS000177
41,13,D7_RS000177,D7_RS000026
13,53,D7_RS000026,D7_RS000192
53,13,D7_RS000192,D7_RS000026
13,69,D7_RS000026,D7_RS000224
69,13,D7_RS000224,D7_RS000026
14,16,D7_RS000027,D7_RS000033
16,14,D7_RS000033,D7_RS000027
14,55,D7_RS000027,D7_RS000194
55,14,D7_RS000194,D7_RS000027
14,122,D7_RS000027,D7_RS000420
122,14,D7_RS000420,D7_RS000027
15,16,D7_RS000032,D7_RS000033
16,15,D7_RS000033,D7_RS000032
15,17,D7_RS000032,D7_RS000034
17,15,D7_RS000034,D7_RS000032
15,41,D7_RS000032,D7_RS000177
41,15,D7_RS000177,D7_RS000032
15,53,D7_RS000032,D7_RS000192
53,15,D7_RS000192,D7_RS000032
15,69,D7_RS000032,D7_RS000224
69,15,D7_RS000224,D7_RS000032
16,55,D7_RS000033,D7_RS000194
55,16,D7_RS000194,D7_RS000033
16,122,D7_RS000033,D7_RS000420
122,16,D7_RS000420,D7_RS000033
17,27,D7_RS000034,D7_RS000130
27,17,D7_RS000130,D7_RS000034
17,56,D7_RS000034,D7_RS000195
56,17,D7_RS000195,D7_RS000034
17,69,D7_RS000034,D7_RS000224
69,17,D7_RS000224,D7_RS000034
18,85,D7_RS000041,D7_RS000256
85,18,D7_RS000256,D7_RS000041
19,85,D7_RS000043,D7_RS000256
85,19,D7_RS000256,D7_RS000043
19,165,D7_RS000043,D7_RS000652
165,19,D7_RS000652,D7_RS000043
20,63,D7_RS000101,D7_RS000207
63,20,D7_RS000207,D7_RS000101
20,100,D7_RS000101,D7_RS000300
100,20,D7_RS000300,D7_RS000101
21,22,D7_RS000107,D7_RS000108
22,21,D7_RS000108,D7_RS000107
21,24,D7_RS000107,D7_RS000115
24,21,D7_RS000115,D7_RS000107
22,23,D7_RS000108,D7_RS000109
23,22,D7_RS000109,D7_RS000108
22,25,D7_RS000108,D7_RS000116
25,22,D7_RS000116,D7_RS000108
23,26,D7_RS000109,D7_RS000117
26,23,D7_RS000117,D7_RS000109
23,147,D7_RS000109,D7_RS000620
147,23,D7_RS000620,D7_RS000109
23,156,D7_RS000109,D7_RS000632
156,23,D7_RS000632,D7_RS000109
24,25,D7_RS000115,D7_RS000116
25,24,D7_RS000116,D7_RS000115
24,182,D7_RS000115,D7_RS000693
182,24,D7_RS000693,D7_RS000115
24,200,D7_RS000115,D7_RS000729
200,24,D7_RS000729,D7_RS000115
25,26,D7_RS000116,D7_RS000117
26,25,D7_RS000117,D7_RS000116
26,147,D7_RS000117,D7_RS000620
147,26,D7_RS000620,D7_RS000117
26,156,D7_RS000117,D7_RS000632
156,26,D7_RS000632,D7_RS000117
27,29,D7_RS000130,D7_RS000138
29,27,D7_RS000138,D7_RS000130
27,56,D7_RS000130,D7_RS000195
56,27,D7_RS000195,D7_RS000130
27,69,D7_RS000130,D7_RS000224
69,27,D7_RS000224,D7_RS000130
27,124,D7_RS000130,D7_RS000441
124,27,D7_RS000441,D7_RS000130
28,29,D7_RS000137,D7_RS000138
29,28,D7_RS000138,D7_RS000137
28,103,D7_RS000137,D7_RS000303
103,28,D7_RS000303,D7_RS000137
28,123,D7_RS000137,D7_RS000440
123,28,D7_RS000440,D7_RS000137
29,30,D7_RS000138,D7_RS000139
30,29,D7_RS000139,D7_RS000138
29,123,D7_RS000138,D7_RS000440
123,29,D7_RS000440,D7_RS000138
29,124,D7_RS000138,D7_RS000441
124,29,D7_RS000441,D7_RS000138
29,125,D7_RS000138,D7_RS000442
125,29,D7_RS000442,D7_RS000138
30,124,D7_RS000139,D7_RS000441
124,30,D7_RS000441,D7_RS000139
30,125,D7_RS000139,D7_RS000442
125,30,D7_RS000442,D7_RS000139
31,32,D7_RS000167,D7_RS000168
32,31,D7_RS000168,D7_RS000167
31,34,D7_RS000167,D7_RS000170
34,31,D7_RS000170,D7_RS000167
31,35,D7_RS000167,D7_RS000171
35,31,D7_RS000171,D7_RS000167
31,44,D7_RS000167,D7_RS000180
44,31,D7_RS000180,D7_RS000167
31,46,D7_RS000167,D7_RS000185
46,31,D7_RS000185,D7_RS000167
31,72,D7_RS000167,D7_RS000231
72,31,D7_RS000231,D7_RS000167
31,196,D7_RS000167,D7_RS000711
196,31,D7_RS000711,D7_RS000167
31,199,D7_RS000167,D7_RS000714
199,31,D7_RS000714,D7_RS000167
31,205,D7_RS000167,D7_RS000739
205,31,D7_RS000739,D7_RS000167
32,33,D7_RS000168,D7_RS000169
33,32,D7_RS000169,D7_RS000168
32,35,D7_RS000168,D7_RS000171
35,32,D7_RS000171,D7_RS000168
32,36,D7_RS000168,D7_RS000172
36,32,D7_RS000172,D7_RS000168
32,47,D7_RS000168,D7_RS000186
47,32,D7_RS000186,D7_RS000168
32,93,D7_RS000168,D7_RS000272
93,32,D7_RS000272,D7_RS000168
33,36,D7_RS000169,D7_RS000172
36,33,D7_RS000172,D7_RS000169
33,37,D7_RS000169,D7_RS000173
37,33,D7_RS000173,D7_RS000169
33,47,D7_RS000169,D7_RS000186
47,33,D7_RS000186,D7_RS000169
33,48,D7_RS000169,D7_RS000187
48,33,D7_RS000187,D7_RS000169
33,93,D7_RS000169,D7_RS000272
93,33,D7_RS000272,D7_RS000169
34,35,D7_RS000170,D7_RS000171
35,34,D7_RS000171,D7_RS000170
34,44,D7_RS000170,D7_RS000180
44,34,D7_RS000180,D7_RS000170
34,46,D7_RS000170,D7_RS000185
46,34,D7_RS000185,D7_RS000170
34,72,D7_RS000170,D7_RS000231
72,34,D7_RS000231,D7_RS000170
35,36,D7_RS000171,D7_RS000172
36,35,D7_RS000172,D7_RS000171
35,44,D7_RS000171,D7_RS000180
44,35,D7_RS000180,D7_RS000171
35,46,D7_RS000171,D7_RS000185
